Accession;Description;Coverage_%;Peptides;PSMs;Unique_Peptides;MW_kDa;Rich_1;Rich_2;Rich_3;Min_1;Min_2;Min_3
P47166;Protein SGM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SGM1 PE=1 SV=1;6;3;4;3;81,1;1,719;1,762;0,864;1,506;1,359;0,775
P38856;Clathrin coat assembly protein AP180A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAP1801 PE=1 SV=1;5;3;4;3;71,6;0,515;0,502;0,344;0,597;0,486;0,247
P52892;Probable alanine aminotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALT2 PE=1 SV=1;6;3;4;3;56,7;1,193;1,167;0,657;0,71;0,552;0,331
P34226;Protein SKT5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKT5 PE=1 SV=1;4;3;4;3;77;0,987;0,963;1,339;0,901;1,074;1,249
P40494;Actin-regulating kinase PRK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRK1 PE=1 SV=1;4;3;4;3;91;1,124;1,132;1,443;0,982;1,522;1,379
P06174;Uroporphyrinogen-III synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM4 PE=1 SV=2;15;3;4;3;30,9;0,93;0,996;1,034;0,931;0,896;1,054
Q04225;Ribosome assembly protein RRB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRB1 PE=1 SV=1;10;4;4;4;57,2;1,818;1,786;2,189;1,59;2,079;2,502
P49957;tRNA (carboxymethyluridine(34)-5-O)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM9 PE=1 SV=1;9;2;4;2;32,4;1,11;1,004;1,048;1,072;1,308;1,281
P39944;Ubiquitin carboxyl-terminal hydrolase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP5 PE=1 SV=1;2;2;4;2;92,2;0,979;0,979;0,88;0,867;0,783;0,728
P01119;Ras-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAS1 PE=1 SV=2;11;4;4;4;34,3;2,099;1,972;3,307;1,996;2,423;3,381
Q08651;Probable oxidoreductase ENV9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENV9 PE=1 SV=1;12;3;4;3;37,5;0,808;0,836;0,566;0,793;0,685;0,356
P38341;MICOS complex subunit MIC12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIC12 PE=1 SV=1;26;3;4;3;12,4;1,537;1,582;1,449;1,387;1,432;1,168
Q08748;Uncharacterized protein YOR296W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR296W PE=1 SV=1;3;3;4;3;147,3;0,814;0,801;0,451;0,811;0,606;0,24
P38085;Valine/tyrosine/tryptophan amino-acid permease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAT1 PE=1 SV=1;5;3;4;2;68,7;3,2;3,341;2,47;0,139;0,063;0,088
Q12375;Mitochondrial ornithine transporter 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ORT1 PE=1 SV=2;11;3;4;3;31,5;0,494;0,562;0,54;0,924;0,959;0,978
Q08826;Sorting nexin-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNX3 PE=1 SV=1;11;2;4;2;18,8;0,572;0,593;0,73;0,573;0,653;0,727
P13517;F-actin-capping protein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAP2 PE=1 SV=3;18;4;4;4;32,6;1,45;1,034;1,316;1,635;1,145;1,056
P48361;Activator of SKN7 protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASK10 PE=1 SV=2;2;2;4;2;126,8;1,8;1,812;1,238;1,497;1,233;0,783
Q06412;Rho1 guanine nucleotide exchange factor TUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUS1 PE=1 SV=1;3;3;4;3;149;0,87;1,089;0,964;0,976;1,088;1,235
P53086;Kinesin-like protein KIP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KIP3 PE=1 SV=1;4;4;4;4;91;0,844;0,829;0,836;0,735;0,839;0,972
P33317;Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUT1 PE=1 SV=2;19;3;4;3;15,3;1,295;1,333;0,877;1,041;1,541;1,674
P42843;F-box protein SKP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKP2 PE=1 SV=1;5;4;4;4;88,9;0,721;0,697;0,666;1,15;1,043;0,888
Q05498;rRNA-processing protein FCF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FCF1 PE=1 SV=1;16;3;4;3;21,6;1,563;1,403;1,429;1,258;1,196;1,033
P22354;54S ribosomal protein L20, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL20 PE=1 SV=2;15;3;4;3;22,4;0,86;0,839;1,375;0,76;0,884;1,06
P33203;Pre-mRNA-processing protein PRP40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP40 PE=1 SV=1;7;4;4;4;69;0,738;0,822;0,76;0,679;0,707;0,648
P06776;3',5'-cyclic-nucleotide phosphodiesterase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDE2 PE=1 SV=2;7;4;4;4;61;0,702;0,687;0,486;0,892;0,8;0,719
P43554;SWI/SNF global transcription activator complex subunit SWP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWP82 PE=1 SV=1;5;4;4;4;70,2;0,851;0,876;0,87;0,901;0,881;0,876
P47013;Dihydrosphingosine 1-phosphate phosphatase LCB3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCB3 PE=1 SV=1;11;3;4;3;47,3;1,626;1,642;1,41;2,065;1,854;1,139
P40335;Carboxypeptidase Y-deficient protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP8 PE=1 SV=2;9;4;4;4;42,5;0,846;0,817;0,909;0,8;0,784;0,783
P38262;SIR4-interacting protein SIF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIF2 PE=1 SV=2;10;4;4;4;59,1;0,676;0,716;0,553;0,623;0,896;1,031
P38827;Histone-lysine N-methyltransferase, H3 lysine-4 specific OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SET1 PE=1 SV=1;4;4;4;4;123,8;0,956;1,003;0,95;0,905;0,862;0,771
P25044;Tyrosine-protein phosphatase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTP1 PE=1 SV=1;7;3;4;3;38,8;0,884;0,871;0,983;0,807;0,859;0,99
P40566;Uncharacterized glycosyl hydrolase YIR007W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIR007W PE=1 SV=1;6;4;4;4;86,9;0,283;0,28;0,397;0,307;0,297;0,332
P53010;PAN2-PAN3 deadenylation complex catalytic subunit PAN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAN2 PE=1 SV=1;4;4;4;4;127;1,25;1,253;1,164;1,167;1,42;1,518
Q03674;Lysophospholipase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PLB2 PE=1 SV=1;3;2;4;2;75,4;0,332;0,289;0,163;0,307;0,219;0,111
P40090;MAU2 chromatid cohesion factor homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCC4 PE=1 SV=1;8;4;4;4;72,1;0,687;0,714;0,66;0,674;0,59;0,527
P0C0V8;40S ribosomal protein S21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS21A PE=1 SV=1;23;2;4;2;9,7;1,372;1,16;1,943;1,138;1,562;1,533
P36035;Carboxylic acid transporter protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=JEN1 PE=1 SV=1;5;4;4;4;69,3;0,06;0,058;0,072;0,073;0,052;0,048
Q12164;Pore membrane protein of 33 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POM33 PE=1 SV=1;11;3;4;2;32,2;0,82;0,832;0,75;0,848;0,702;0,449
P40362;U3 small nucleolar RNA-associated protein 18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP18 PE=1 SV=1;9;4;4;4;66,4;1,561;1,539;0,931;1,441;1,25;0,699
Q9URQ5;High temperature lethal protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTL1 PE=1 SV=1;31;3;4;3;9,2;0,75;0,759;0,811;0,783;0,703;0,791
Q12404;Protein disulfide-isomerase MPD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MPD1 PE=1 SV=1;11;3;4;3;36,4;0,779;0,814;0,764;0,607;0,633;0,52
P38816;Thioredoxin reductase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRR2 PE=1 SV=1;22;4;4;3;37,1;1,342;1,471;1,328;1,539;1,288;1,038
P06844;Protein SPT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT3 PE=1 SV=1;15;3;4;3;38,8;0,838;0,853;0,887;0,761;0,737;0,662
P47142;Vacuolar protein-sorting-associated protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS25 PE=1 SV=1;12;3;4;3;23,5;0,698;0,686;0,456;0,642;0,513;0,351
P53073;ER membrane protein complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMC4 PE=1 SV=1;15;3;4;3;21,4;0,605;0,612;0,526;0,561;0,489;0,3
Q05926;Glutaredoxin-8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX8 PE=1 SV=1;17;2;4;2;12,5;0,498;0,534;0,57;3,121;3,658;3,678
P08525;Cytochrome b-c1 complex subunit 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR8 PE=1 SV=2;21;2;4;2;11;1,697;1,664;2,027;1,548;1,389;1,315
P52490;Ubiquitin-conjugating enzyme E2 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC13 PE=1 SV=1;16;3;4;3;17,5;0,492;0,47;0,215;0,508;0,392;0,124
Q07794;Histone acetyltransferase RTT109 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTT109 PE=1 SV=1;9;3;4;3;50,1;0,724;0,74;0,741;0,642;0,581;0,61
P52960;Peroxisome proliferation transcriptional regulator OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIP2 PE=1 SV=1;5;4;4;4;114,6;0,953;0,98;0,959;0,99;0,917;0,735
Q04600;Translation machinery-associated protein 64 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA64 PE=1 SV=1;6;4;4;4;64;0,979;0,999;0,876;0,789;0,887;0,867
P53732;37S ribosomal protein S12, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPS12 PE=1 SV=1;20;3;4;3;16,9;0,48;0,487;0,585;0,442;0,435;0,435
P38064;54S ribosomal protein L16, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL16 PE=1 SV=1;3;1;4;1;26,5;1,069;1,032;1,841;0,973;1,068;1,194
Q12160;Uncharacterized protein YPR063C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR063C PE=1 SV=1;14;2;4;2;15,4;2,318;2,462;1,324;2,124;1,703;0,788
P53322;High-affinity nicotinic acid transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TNA1 PE=1 SV=1;4;2;4;2;60,1;0,64;0,67;0,561;0,498;0,438;0,212
P32048;Lysine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSK1 PE=1 SV=3;6;4;4;4;66,1;0,921;0,998;0,678;0,971;0,934;0,772
Q12084;Putative uridine kinase DAS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAS2 PE=1 SV=1;19;4;4;4;26,6;1,05;1,127;0,618;1,657;1,094;0,707
Q12072;ISWI one complex protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IOC2 PE=1 SV=1;6;4;4;4;93,4;0,646;0,64;0,521;0,592;0,559;0,425
P43591;ATP-dependent kinase YFH7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFH7 PE=1 SV=1;9;3;4;3;39,9;1,037;1,105;0,905;0,893;0,843;0,726
P19158;Inhibitory regulator protein IRA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRA2 PE=1 SV=2;1;4;4;4;351,4;0,75;0,718;0,682;0,738;0,691;0,557
Q08754;Bud site selection protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD7 PE=1 SV=1;3;3;4;3;84,8;0,915;0,864;0,735;0,88;0,788;0,705
Q04767;Golgi apparatus membrane protein TVP18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TVP18 PE=1 SV=1;17;2;4;2;18,7;0,765;0,768;0,557;0,803;0,643;0,301
Q01454;DNA polymerase alpha-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTF4 PE=1 SV=2;6;4;4;4;104,4;0,805;0,747;0,795;0,737;0,724;0,746
P48445;Biotin--protein ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BPL1 PE=1 SV=1;6;3;4;3;76,3;0,416;0,381;0,491;0,479;0,553;0,685
P40851;Putative protease AXL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AXL1 PE=1 SV=2;3;4;4;4;138,2;0,756;0,758;0,841;0,745;0,77;0,656
P40956;Protein GTS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GTS1 PE=1 SV=2;11;4;4;4;44,4;1,085;1,119;1,006;1,09;1,398;1,81
P40504;Probable mannosyltransferase KTR7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR7 PE=1 SV=1;6;3;4;3;61,4;1,568;1,606;1,365;1,385;1,377;1,691
P27472;Glycogen [starch] synthase isoform 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSY2 PE=1 SV=3;6;4;4;3;80;0,239;0,235;0,22;0,243;0,221;0,239
P53218;Ribonucleases P/MRP protein subunit POP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POP6 PE=1 SV=1;15;4;4;4;18,2;1,59;1,633;1,322;1,426;1,201;0,817
P32606;Putative mitochondrial translation system component PET127 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET127 PE=1 SV=2;7;4;4;3;93,4;1,255;1,322;1,28;1,095;1,107;1,208
Q99176;Protein SRN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRN2 PE=1 SV=1;21;4;4;4;25,1;0,711;0,73;0,53;0,691;0,575;0,429
Q03735;RNA-binding protein NAB6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAB6 PE=1 SV=1;2;4;4;4;126,1;0,872;0,917;1,039;0,859;0,814;0,797
Q02883;N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP30 PE=1 SV=1;6;3;4;3;54,3;0,661;0,611;0,415;0,636;0,563;0,33
Q8TGU7;Uncharacterized protein YBR126W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR126W-A PE=4 SV=1;26;2;4;2;7,8;1,126;1,068;0,586;0,939;0,781;0,217
Q05518;Protein PAL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAL1 PE=1 SV=1;10;3;4;3;55;1,049;0,911;1,026;0,893;1,265;1,83
P40046;Vacuolar transporter chaperone 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC1 PE=1 SV=3;17;3;4;3;14,4;0,828;0,79;1,16;0,783;0,832;0,762
Q02629;Nucleoporin NUP100/NSP100 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP100 PE=1 SV=1;3;3;4;2;99,9;0,881;0,855;0,885;0,767;0,92;0,959
Q04835;Uncharacterized membrane protein YMR253C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR253C PE=1 SV=1;10;3;4;3;46,6;0,319;0,319;0,209;0,397;0,348;0,113
Q00618;Geranylgeranyl transferase type-2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BET4 PE=1 SV=3;5;2;4;2;39,7;0,685;0,681;0,451;0,656;0,567;0,284
P19516;Cytochrome c oxidase assembly protein COX11, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX11 PE=3 SV=2;10;3;4;3;34;0,499;0,507;0,414;0,483;0,396;0,229
P53943;Probable transporter AQR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AQR1 PE=1 SV=1;8;4;4;4;65,3;1,953;1,901;1,47;1,698;1,356;0,65
P53184;Nicotinamidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNC1 PE=1 SV=1;23;3;4;3;25;1,323;1,248;1,531;1,38;1,217;1,688
Q12522;Eukaryotic translation initiation factor 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF6 PE=1 SV=1;16;3;4;3;26,4;2,141;2,225;1,495;1,777;2,38;3,186
P25389;Probable serine/threonine-protein kinase KCC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KCC4 PE=1 SV=3;5;4;4;4;116,4;0,701;0,697;0,615;0,56;0,477;0,39
Q01590;Integral membrane protein SED5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SED5 PE=1 SV=1;12;3;4;3;38,8;1,332;1,262;1,157;1,297;1,046;0,833
P47159;Uncharacterized membrane protein YJR124C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR124C PE=1 SV=1;6;3;4;3;49,6;0,782;0,801;0,567;1,032;0,831;0,343
P08638;Regulatory protein LEU3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU3 PE=1 SV=1;6;4;4;4;100,1;1,121;1,089;1,027;1,745;1,421;1,13
P19956;54S ribosomal protein L44, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL44 PE=1 SV=1;32;2;4;2;11,5;0,721;0,753;0,954;0,607;0,632;0,689
Q12325;Sulfate permease 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUL2 PE=1 SV=1;8;4;4;4;99,6;0,54;0,574;0,532;1,689;1,61;1,446
Q06697;Cell division control protein 73 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC73 PE=1 SV=1;12;4;4;4;44,4;1,18;1,109;0,876;1,057;0,893;0,646
P35196;Dehydrodolichyl diphosphate synthase complex subunit RER2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RER2 PE=1 SV=1;13;3;4;3;32,7;0,935;0,882;0,866;0,896;0,728;0,579
P32774;Transcription initiation factor IIA subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOA2 PE=1 SV=1;34;4;4;4;13,5;1,094;0,934;1,096;1,097;0,914;0,808
P38213;Protein DSF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DSF2 PE=1 SV=2;4;4;4;3;82,3;0,527;0,674;0,542;0,615;0,6;0,718
P53721;Respiratory supercomplex factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCF2 PE=1 SV=1;13;4;4;4;25,3;1,231;1,222;0,788;0,923;0,765;0,39
Q12066;Nuclear rim protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUR1 PE=1 SV=1;6;3;4;3;56,9;0,636;0,659;0,411;0,601;0,506;0,22
P43565;Serine/threonine-protein kinase RIM15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIM15 PE=1 SV=1;3;4;4;4;196,4;1,991;2,242;1,424;1,593;1,389;0,8
Q05979;Kynureninase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNA5 PE=1 SV=1;8;3;4;3;51;1,076;1,087;1,241;0,653;0,689;0,699
P36151;Uncharacterized protein YKR070W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKR070W PE=1 SV=1;13;4;4;4;39,4;1,075;1,132;0,902;0,787;0,839;0,817
P24004;Peroxisomal ATPase PEX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX1 PE=1 SV=2;3;3;4;2;117,2;3,058;3,059;3,537;3,287;3,761;3,605
Q04951;Probable family 17 glucosidase SCW10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCW10 PE=1 SV=1;11;3;4;3;40,4;0,631;0,636;0,464;0,53;0,518;0,249
P32775;1,4-alpha-glucan-branching enzyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC3 PE=1 SV=2;5;3;4;3;81,1;0,856;0,814;0,776;0,603;0,574;0,576
P32829;Double-strand break repair protein MRE11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRE11 PE=1 SV=2;7;4;4;4;77,6;0,946;1,031;0,809;0,925;0,951;0,847
P25631;Ankyrin repeat-containing protein YCR051W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCR051W PE=1 SV=1;25;3;4;3;24,7;1,499;1,556;1,135;1,207;1,61;0,772
P32792;UPF0744 protein YSC83 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YSC83 PE=1 SV=1;10;4;4;4;44,2;1,067;1,088;1,003;1,092;0,959;0,777
P19735;Pre-mRNA-splicing factor 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP6 PE=1 SV=1;4;4;4;4;104,2;0,967;0,96;0,774;0,874;0,776;0,718
P53198;Protein ERP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERP6 PE=1 SV=1;11;3;4;3;25,3;0,69;0,705;0,851;0,605;0,619;0,608
Q00582;GTP-binding protein GTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GTR1 PE=1 SV=1;13;4;4;4;35,8;0,424;0,41;0,322;0,575;0,503;0,339
P20084;54S ribosomal protein L33, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL33 PE=1 SV=4;24;3;4;3;9,5;0,782;0,806;1,039;0,735;0,819;1,01
P56628;60S ribosomal protein L22-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL22B PE=1 SV=2;27;3;4;1;13,8;4,588;4,69;3,134;4,503;4;2,563
Q06346;Inositol phosphorylceramide synthase regulatory subunit KEI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KEI1 PE=1 SV=2;10;2;4;2;25,5;0,849;0,858;0,57;0,849;0,695;0,364
P53166;ATP-dependent RNA helicase MRH4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRH4 PE=1 SV=1;9;4;4;4;63;1,364;1,385;1,84;1,206;1,334;1,397
P04803;Tryptophan--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSW1 PE=1 SV=2;10;3;4;3;43;0,628;0,616;0,688;0,57;0,503;0,569
Q03088;Styryl dye vacuolar localization protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SVL3 PE=1 SV=1;4;3;4;3;92,1;1,166;1,219;0,852;1,163;0,927;0,575
Q08873;Transgelin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCP1 PE=1 SV=1;22;3;4;3;22,7;0,946;0,909;0,546;0,865;0,691;0,546
Q03264;RNA exonuclease NGL2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NGL2 PE=1 SV=1;10;4;4;4;59,5;1,553;1,534;2,479;1,434;1,734;2,325
P15442;eIF-2-alpha kinase GCN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN2 PE=1 SV=3;2;4;4;4;190,1;2,051;2,104;1,506;2,239;2,319;1,846
P38814;Protein SBE22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBE22 PE=1 SV=1;3;3;4;3;96,3;0,957;0,944;1,133;0,839;0,969;1,134
P54964;Oligoribonuclease, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REX2 PE=1 SV=1;13;2;4;2;30,9;0,687;0,675;0,463;0,567;0,487;0,38
P53335;Protein PXR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PXR1 PE=1 SV=1;18;4;4;4;31,3;2,44;2,275;2,36;2,493;2,396;2,591
P47135;Protein JSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=JSN1 PE=1 SV=1;3;3;4;3;120,3;0,81;0,795;0,783;0,757;0,618;0,479
Q08285;Exosome complex component RRP40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP40 PE=1 SV=2;12;3;4;3;26,5;1,457;1,458;1,46;1,324;1,296;1,402
P53853;Vacuolar protein sorting-associated protein 75 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS75 PE=1 SV=1;14;4;4;4;30,6;0,476;0,48;0,454;0,44;0,436;0,422
Q06188;PWWP domain-containing protein YLR455W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR455W PE=1 SV=1;13;4;4;4;35,5;1,006;1,016;1,036;1,036;0,944;0,807
P50276;High-affinity methionine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MUP1 PE=1 SV=1;5;3;4;3;63,2;0,702;0,711;0,533;1,059;0,85;0,323
P22133;Malate dehydrogenase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDH2 PE=1 SV=2;7;3;4;3;40,7;0,266;0,245;0,194;0,227;0,196;0,123
P47052;Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL045W PE=3 SV=1;4;3;4;1;69,3;0,752;0,704;0,643;0,976;1,07;1,397
P32480;Protein HIR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIR2 PE=1 SV=2;5;4;4;4;98,4;1,151;1,167;0,768;1,157;1,178;1,421
P38234;Protein RFS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFS1 PE=1 SV=1;10;2;4;2;22,9;0,37;0,355;0,307;0,382;0,35;0,296
Q08236;Target of rapamycin complex 2 subunit AVO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AVO1 PE=1 SV=1;3;3;4;3;131,3;1,606;1,605;1,367;1,51;1,522;1,149
P40522;Transcription factor VHR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VHR1 PE=1 SV=1;5;3;4;3;71,4;0,852;0,908;0,851;0,99;0,946;1,032
